Molecule Name,Smiles,Euclidean Distance,Permeability Value,Diameter
Bromoform,BrC(Br)Br,0.0,49.75962937,3.16
N-8-mercaptooctanoylthreonine phosphate,P(=O)(O)(O)O[C@@H]([C@H](NC(CCCCCCCS)=O)C(=O)O)C,0.0,0.957443379,13.95
N-7-mercaptoheptanoylthreonine phosphate,P(=O)(O)(O)O[C@@H]([C@H](NC(CCCCCCS)=O)C(=O)O)C,0.0,1.134988293,15.11
Rosuvastatin,FC1=CC=C(C=C1)C1=NC(=NC(=C1/C=C/[C@H](C[C@H](CC(=O)O)O)O)C(C)C)N(S(=O)(=O)C)C,0.0,1.218321919,17.05
N-9-mercaptononanoylthreonine phosphate,P(=O)(O)(O)O[C@@H]([C@H](NC(CCCCCCCCS)=O)C(=O)O)C,0.0,1.289366093,15.53
Pterin B55,NC=1NC(C=2N=C(NC2N1)S)=O,0.0,1.424831152,8.48
Pterin B53,NC1=NC(=C(C(N1)=O)N=O)N,0.0,1.443698537,7.1
Pterin B54,NC=1NC(C(=C(N1)NCCCOC1=CC=C(C(=O)O)C=C1)N=O)=O,0.0,1.449656393,15.91
N-6-mercaptohexanoylthreonine phosphate,P(=O)(O)(O)O[C@@H]([C@H](NC(CCCCCS)=O)C(=O)O)C,0.0,0.983871054,12.17
Atorvastatin,FC1=CC=C(C=C1)C=1N(C(=C(C1C1=CC=CC=C1)C(NC1=CC=CC=C1)=O)C(C)C)CC[C@H](C[C@H](CC(=O)O)O)O,0.0,3.045416437,16.59
Simvastatin,CC(C(=O)O[C@H]1C[C@H](C=C2C=C[C@@H]([C@@H]([C@@H]12)CC[C@H]1OC(C[C@@H](C1)O)=O)C)C)(CC)C,0.0,12.58667409,11.36
3-Nitrooxypropanol,[N+](=O)([O-])OCCCO,0.0,13.73478025,6.82
2-Nitropropanol,[N+](=O)([O-])C(CO)C,0.0,18.06111485,4.46
3-Nitropropionate,[N+](=O)([O-])CCC(=O)[O-],0.0,18.79334599,5.48
N-5-mercaptopentanoylthreonine phosphate,P(=O)(O)(O)O[C@@H]([C@H](NC(CCCCS)=O)C(=O)O)C,0.0,1.802589186,10.32
2-Nitroethanol,[N+](=O)([O-])CCO,0.0,19.3322584,4.17
18:2 Cholesteryl ester,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CCCC(C)C)[C@@]4(C)CC[C@@H]32)C1,0.4382326,2.080537379,21.55
UDP-L-rhamnose,C[C@@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](N3C=CC(=O)NC3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,0.5248572,0.455786847,13.78
Loganin,COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@@H](C)[C@@H](O)C[C@H]12,0.5345159,1.178262848,11.97
Galacturonic acid,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)O,0.7010269,1.027213316,7.55
Pyrimidine,C1=CN=CN=C1,0.7687731,43.75468791,4.91
17-beta-estradiol-3-glucuronide,C[C@]12CC[C@@H]3C4=C(C=C(OC5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)C=C4)CC[C@H]3[C@@H]1CC[C@@H]2O,0.83182144,2.018657885,16.69
22:5 Cholesteryl ester,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CCCC(C)C)[C@@]4(C)CC[C@@H]32)C1,0.84798574,1.555238478,28.48
Glucaric acid,O=C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O,0.8627067,0.443668803,8.14
Maltotetraose,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)C(O)O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,0.8786289,0.217515766,20.12
Folic acid,NC1=NC(=O)C2=NC(CNC3=CC=C(C(=O)N[C@@H](CCC(=O)O)C(=O)O)C=C3)=CN=C2N1,0.9132429,0.626631361,20.59
Ascorbic acid,O=C1C(O)=C(O)O[C@H]1[C@H](O)CO,1.0310491,2.611142583,7.37
Lincomycin,CCC[C@@H]1CC(C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](C)O)N(C)C1,1.0918115,2.405846678,12.66
Dehydroepiandrosterone,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,1.1789956,22.8745386,11.51
"2b,3a,7a,12a-Tetrahydroxy-5b-cholanoic acid",C[C@@H](CCC(=O)O)C1CCC2C3C(C[C@H](O)[C@@]21C)[C@@]1(C)C[C@H](O)[C@@H](O)C[C@H]1C[C@H]3O,1.1871319,3.721470758,13.8
Cholic acid,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3C(O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,1.2256902,4.317066818,15.4
Tetracycline,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)C4=C(O)C=CC=C4[C@@](C)(O)[C@H]3C[C@@H]12,1.2498386,0.816721842,13.02
Thiamine,CC1=NC=C(C[N+]2=CSC(CCO)=C2C)C(N)=N1,1.2777523,7.816381752,10.26
D-Ribose 5-phosphate,O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H]1O,1.3014433,0.925927609,8.05
Riboflavin,CC1=C(C)C=C2C(=C1)N=C1C(=NC(=O)NC1=O)N2C[C@H](O)[C@H](O)[C@H](O)CO,1.319634,1.850208454,11.95
Simazine,CCN=C1N=C(Cl)NC(=NCC)N1,1.3341646,6.095563993,9.33
Histidinyl-Tryptophan,NC(CC1=CN=CN1)C(O)=NC(CC1=CNC2=CC=CC=C12)C(=O)O,1.3377293,2.63338238,11.42
L-Carnitine,C[N+](C)(C)C[C@@H](O)CC(=O)[O-],1.3751861,18.33944917,6.86
Monosialoganglioside GM1,CCCCCCCCCCCCC/C=C/C(O)C(CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H]3N=C(C)O)[C@H](O[C@]3(C(=O)O)C[C@H](O)[C@@H](N=C(C)O)[C@@H](C(O)C(O)CO)O3)[C@H]2O)[C@H](O)[C@H]1O)N=C(O)CCCCCCCCCCCCCCCCC,1.3954175,1.421384886,26.31
Monosialoganglioside GM3,CCCCCCCC/C=C\CCCCCCCCCCCCCC(O)=N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@]3(C(=O)O)C[C@H](O)[C@@H](N=C(C)O)[C@H]([C@H](O)[C@H](O)CO)O3)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)/C=C/CCCCCCCCCCCCC,1.3956413,1.394322142,17.85
Galactosylceramide (d18:1/20:0),CCCCCCCCCCCCC/C=C\C(O)C(CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)NC(=O)CCCCCCCCCCCCCCCCCCC,1.404519,2.019247785,22.12
L-Phenylalanine,N[C@@H](CC1=CC=CC=C1)C(=O)O,1.4067392,9.371256083,7.9
Phosphocreatinine,CN1CC(O)=NC1=NP(=O)(O)O,1.4075518,4.326419532,7.32
Tryptophyl-Arginine,N=C(N)NCCCC(N=C(O)C(N)CC1=CNC2=CC=CC=C12)C(=O)O,1.4284,0.764326192,17.35
Maltotriose,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,1.4550923,0.08297874,15.76
Lys-Asp-Tyr,NCCCC[C@H](N)C(O)=N[C@@H](CC(=O)O)C(O)=N[C@@H](CC1=CC=C(O)C=C1)C(=O)O,1.4972912,0.323842489,13.19
Disialoganglioside Ib,CCCCCCCCCCCCCC=CC(O)C(CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H]3N=C(C)O)[C@H](O[C@]3(C(=O)O)C[C@H](O)[C@@H](N=C(C)O)[C@H]([C@H](O)[C@@H](CO)O[C@]4(C(=O)O)C[C@H](O)[C@@H](N=C(O)CO)[C@H]([C@H](O)[C@H](O)CO)O4)O3)[C@H]2O)[C@H](O)[C@H]1O)N=C(O)CCCCCCCCCCCCCCCCC,1.4986328,1.921436377,24.49
Guanine,NC1=NC(=O)C2=C(N=CN2)N1,1.5445014,1.8754296,7.62
Ergothioneine,C[N+](C)(C)[C@@H](CC1=CN=C([S-])N1)C(=O)O,1.5847033,4.234587774,9.47
1-Phosphatidyl-D-myo-inositol,O=COC[C@@H](COP(=O)(O)OC1[C@@H](O)[C@@H](O)C(O)[C@H](O)[C@H]1O)OC=O,1.6163199,0.322421407,14.25
L-Tryptophan,N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)O,1.6542474,9.306182712,10.45
4-Hydroxyphenyl-beta-glucopyranoside,OC[C@H]1O[C@@H](OC2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,1.6632655,1.813041046,11.24
Estriol,C[C@]12CC[C@@H]3C4=C(C=C(O)C=C4)CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,1.6784523,10.70227399,12.45
L-phenylalanyl-L-proline,N[C@@H](CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)O,1.6910281,8.276800811,11.53
